Date,Name,Value
2021-08-06,PNC Checking,592.63
2021-08-06,BOA Checking,78.92
2021-08-06,Achieva Checking,1215.44
2021-08-06,Achieva Savings,1001.98
2021-08-13,PNC Checking,837.31
2021-08-13,BOA Checking,391.53
2021-08-13,Achieva Checking,1357.76
2021-08-13,Achieva Savings,1001.98
2021-08-20,PNC Checking,992.99
2021-08-20,BOA Checking,231.10
2021-08-20,Achieva Checking,1178.87
2021-08-20,Achieva Savings,1001.98
2021-08-28,PNC Checking,1148.67
2021-08-28,BOA Checking,70.66
2021-08-28,Achieva Checking,999.98
2021-08-28,Achieva Savings,1001.98
2021-09-03,PNC Checking,1695.15
2021-09-03,BOA Checking,114.36
2021-09-03,Achieva Checking,1193.39
2021-09-03,Achieva Savings,1002.01
2021-09-10,PNC Checking,750.13
2021-09-10,BOA Checking,67.02
2021-09-10,Achieva Checking,1250.71
2021-09-10,Achieva Savings,1002.01
2021-09-17,PNC Checking,1607.91
2021-09-17,BOA Checking,171.59
2021-09-17,Achieva Checking,1370.62
2021-09-17,Achieva Savings,1002.01
2021-09-25,PNC Checking,676.84
2021-09-25,BOA Checking,39.29
2021-09-25,Achieva Checking,1327.93
2021-09-25,Achieva Savings,1002.01
2021-10-01,PNC Checking,689.85
2021-10-01,BOA Checking,28.15
2021-10-01,Achieva Checking,1285.24
2021-10-01,Achieva Savings,1002.03
2021-10-08,PNC Checking,436.01
2021-10-08,BOA Checking,26.44
2021-10-08,Achieva Checking,1206.34
2021-10-08,Achieva Savings,1002.03
